{'iter': 0, 'batch_size': 64, 'epoch': 0, 'loss': 1.1168617010116577, 'Loss': 0.5850208360464015, 'SSIM': 0.009016646892657932, 'PSNR': 8.95052474630866}
{'iter': 1000, 'batch_size': 64, 'epoch': 0, 'loss': 0.013935173861682415, 'Loss': 0.01673238096322785, 'SSIM': 0.561033580497957, 'PSNR': 18.60831863155554}
{'iter': 2000, 'batch_size': 64, 'epoch': 0, 'loss': 0.012770744040608406, 'Loss': 0.01317806340793663, 'SSIM': 0.6440222800373848, 'PSNR': 19.759474052136557}
{'iter': 3000, 'batch_size': 64, 'epoch': 0, 'loss': 0.010232608765363693, 'Loss': 0.012562904744706255, 'SSIM': 0.6898862101133624, 'PSNR': 19.747210143539135}
{'iter': 4000, 'batch_size': 64, 'epoch': 1, 'loss': 0.010553499683737755, 'Loss': 0.011090123887233277, 'SSIM': 0.722125448852094, 'PSNR': 20.595481567608296}
{'iter': 5000, 'batch_size': 64, 'epoch': 1, 'loss': 0.006898352410644293, 'Loss': 0.009492160326385118, 'SSIM': 0.773126416201833, 'PSNR': 21.612098845504217}
{'iter': 6000, 'batch_size': 64, 'epoch': 1, 'loss': 0.005746760871261358, 'Loss': 0.00888519390099781, 'SSIM': 0.7884272833875741, 'PSNR': 21.79548537752161}
{'iter': 7000, 'batch_size': 64, 'epoch': 1, 'loss': 0.0061528561636805534, 'Loss': 0.008981201976062135, 'SSIM': 0.7903431755340848, 'PSNR': 21.6691683863362}
{'iter': 8000, 'batch_size': 64, 'epoch': 2, 'loss': 0.006058910395950079, 'Loss': 0.008149155016810178, 'SSIM': 0.80357499651546, 'PSNR': 22.02677761967827}
{'iter': 9000, 'batch_size': 64, 'epoch': 2, 'loss': 0.004911847412586212, 'Loss': 0.008380616990294545, 'SSIM': 0.805747374914005, 'PSNR': 21.911171151254322}
{'iter': 10000, 'batch_size': 64, 'epoch': 2, 'loss': 0.004644556902348995, 'Loss': 0.007786162851497214, 'SSIM': 0.8248273637108777, 'PSNR': 22.504783016368183}
{'iter': 11000, 'batch_size': 64, 'epoch': 3, 'loss': 0.0042325276881456375, 'Loss': 0.007132587924678909, 'SSIM': 0.8312957950657369, 'PSNR': 22.88724796750437}
{'iter': 12000, 'batch_size': 64, 'epoch': 3, 'loss': 0.004282286390662193, 'Loss': 0.007904112056650698, 'SSIM': 0.8207785316247063, 'PSNR': 22.177391083416122}
{'iter': 13000, 'batch_size': 64, 'epoch': 3, 'loss': 0.004175753332674503, 'Loss': 0.006977127352234056, 'SSIM': 0.8341393564646776, 'PSNR': 22.93124655859117}
{'iter': 14000, 'batch_size': 64, 'epoch': 3, 'loss': 0.0030376287177205086, 'Loss': 0.006890132683923745, 'SSIM': 0.8405572327461429, 'PSNR': 23.104518358058762}
{'iter': 15000, 'batch_size': 64, 'epoch': 4, 'loss': 0.002736419439315796, 'Loss': 0.00677291081693182, 'SSIM': 0.8434263148783172, 'PSNR': 23.002057361496167}
{'iter': 16000, 'batch_size': 64, 'epoch': 4, 'loss': 0.0032339016906917095, 'Loss': 0.006829597771742401, 'SSIM': 0.8391701353063411, 'PSNR': 22.92471414438806}
{'iter': 17000, 'batch_size': 64, 'epoch': 4, 'loss': 0.002500312402844429, 'Loss': 0.006995304584245574, 'SSIM': 0.8493652007756887, 'PSNR': 23.197411622040857}
{'iter': 18000, 'batch_size': 64, 'epoch': 4, 'loss': 0.0033528520725667477, 'Loss': 0.006692734408251783, 'SSIM': 0.8511710348461697, 'PSNR': 23.179366356868083}
