{'iter': 0, 'batch_size': 64, 'epoch': 0, 'loss': 1.120434045791626, 'Loss': 0.6054699509701831, 'SSIM': 0.00919836180164069, 'PSNR': 8.957666218773365}
{'iter': 1000, 'batch_size': 64, 'epoch': 0, 'loss': 0.019742416217923164, 'Loss': 0.019132537896090998, 'SSIM': 0.5193733148387188, 'PSNR': 17.977689217416074}
{'iter': 2000, 'batch_size': 64, 'epoch': 0, 'loss': 0.01646050252020359, 'Loss': 0.014226069074480775, 'SSIM': 0.6389381170712323, 'PSNR': 19.345573267545007}
{'iter': 3000, 'batch_size': 64, 'epoch': 0, 'loss': 0.011257311329245567, 'Loss': 0.011748543836453811, 'SSIM': 0.682022429183693, 'PSNR': 20.312536350930724}
{'iter': 4000, 'batch_size': 64, 'epoch': 0, 'loss': 0.013465950265526772, 'Loss': 0.010656656459607977, 'SSIM': 0.729562423349086, 'PSNR': 20.853937333826142}
{'iter': 5000, 'batch_size': 64, 'epoch': 0, 'loss': 0.013220757246017456, 'Loss': 0.009669229442729278, 'SSIM': 0.7669711177411127, 'PSNR': 21.29337395758057}
{'iter': 6000, 'batch_size': 64, 'epoch': 0, 'loss': 0.014397340826690197, 'Loss': 0.009546861310112984, 'SSIM': 0.7727561303669822, 'PSNR': 21.177077673352652}
{'iter': 7000, 'batch_size': 64, 'epoch': 0, 'loss': 0.010153383947908878, 'Loss': 0.0091254130907436, 'SSIM': 0.7816950794946924, 'PSNR': 21.605185041634257}
{'iter': 8000, 'batch_size': 64, 'epoch': 1, 'loss': 0.009169111959636211, 'Loss': 0.010296965887314304, 'SSIM': 0.7811195832848304, 'PSNR': 20.79863269755936}
{'iter': 9000, 'batch_size': 64, 'epoch': 1, 'loss': 0.011576410382986069, 'Loss': 0.008738570096109934, 'SSIM': 0.7943198631278825, 'PSNR': 21.86179998696421}
{'iter': 10000, 'batch_size': 64, 'epoch': 1, 'loss': 0.008218580856919289, 'Loss': 0.008565405233852328, 'SSIM': 0.7989518703583603, 'PSNR': 22.044726952543957}
{'iter': 11000, 'batch_size': 64, 'epoch': 1, 'loss': 0.010943209752440453, 'Loss': 0.008097002478415502, 'SSIM': 0.8133124506009831, 'PSNR': 22.254185778662194}
{'iter': 12000, 'batch_size': 64, 'epoch': 1, 'loss': 0.010596772655844688, 'Loss': 0.008738706746643924, 'SSIM': 0.8033047205813701, 'PSNR': 21.814994172692337}
{'iter': 13000, 'batch_size': 64, 'epoch': 1, 'loss': 0.009650539606809616, 'Loss': 0.007933052636910864, 'SSIM': 0.8177637965570507, 'PSNR': 22.370870274694468}
{'iter': 14000, 'batch_size': 64, 'epoch': 1, 'loss': 0.009389861486852169, 'Loss': 0.008132865324249847, 'SSIM': 0.8008305533363345, 'PSNR': 21.846150192631313}
{'iter': 15000, 'batch_size': 64, 'epoch': 2, 'loss': 0.00746772438287735, 'Loss': 0.00707310485093795, 'SSIM': 0.8307501647034153, 'PSNR': 22.761283768469255}
{'iter': 16000, 'batch_size': 64, 'epoch': 2, 'loss': 0.00957493856549263, 'Loss': 0.007120242800583389, 'SSIM': 0.8279710346342185, 'PSNR': 22.778550411412677}
{'iter': 17000, 'batch_size': 64, 'epoch': 2, 'loss': 0.007898453623056412, 'Loss': 0.007641949391170861, 'SSIM': 0.8250031666915282, 'PSNR': 22.305925775135023}
{'iter': 18000, 'batch_size': 64, 'epoch': 2, 'loss': 0.009482061490416527, 'Loss': 0.008201168776995086, 'SSIM': 0.8087204228686127, 'PSNR': 21.648597836825047}
{'iter': 19000, 'batch_size': 64, 'epoch': 2, 'loss': 0.0094299903139472, 'Loss': 0.007504299019235484, 'SSIM': 0.8372709712157149, 'PSNR': 22.599242040860883}
{'iter': 20000, 'batch_size': 64, 'epoch': 2, 'loss': 0.007886813953518867, 'Loss': 0.00759913507313963, 'SSIM': 0.8324024455289597, 'PSNR': 22.488524648445775}
{'iter': 21000, 'batch_size': 64, 'epoch': 2, 'loss': 0.009569210931658745, 'Loss': 0.007089048601746401, 'SSIM': 0.8285444454102892, 'PSNR': 22.638241253946312}
{'iter': 22000, 'batch_size': 64, 'epoch': 3, 'loss': 0.008135972544550896, 'Loss': 0.007067040113008957, 'SSIM': 0.8359768474188929, 'PSNR': 22.95833622308423}
{'iter': 23000, 'batch_size': 64, 'epoch': 3, 'loss': 0.007739209569990635, 'Loss': 0.0072382444979008686, 'SSIM': 0.8317526843290666, 'PSNR': 22.92275649778377}
{'iter': 24000, 'batch_size': 64, 'epoch': 3, 'loss': 0.0064068264327943325, 'Loss': 0.0070982746225088204, 'SSIM': 0.8370370341565466, 'PSNR': 22.943814676174195}
{'iter': 25000, 'batch_size': 64, 'epoch': 3, 'loss': 0.008938135579228401, 'Loss': 0.0067530936534278725, 'SSIM': 0.8438222251170976, 'PSNR': 23.095224877125123}
{'iter': 26000, 'batch_size': 64, 'epoch': 3, 'loss': 0.007326774299144745, 'Loss': 0.006654339926713642, 'SSIM': 0.83325473591411, 'PSNR': 22.634606194530047}
{'iter': 27000, 'batch_size': 64, 'epoch': 3, 'loss': 0.008561341091990471, 'Loss': 0.006778848949482942, 'SSIM': 0.8461245591643394, 'PSNR': 22.870812312953127}
{'iter': 28000, 'batch_size': 64, 'epoch': 3, 'loss': 0.006096932105720043, 'Loss': 0.006681954619435078, 'SSIM': 0.8402538386205799, 'PSNR': 23.01206121277186}
{'iter': 29000, 'batch_size': 64, 'epoch': 3, 'loss': 0.00670214369893074, 'Loss': 0.00682945884367887, 'SSIM': 0.8416915633647277, 'PSNR': 23.032348467286628}
{'iter': 30000, 'batch_size': 64, 'epoch': 4, 'loss': 0.00808731373399496, 'Loss': 0.00756440757887755, 'SSIM': 0.8254663421286044, 'PSNR': 22.126984475350444}
{'iter': 31000, 'batch_size': 64, 'epoch': 4, 'loss': 0.007693936582654715, 'Loss': 0.006903801405643846, 'SSIM': 0.8397102632714195, 'PSNR': 22.812046384367637}
{'iter': 32000, 'batch_size': 64, 'epoch': 4, 'loss': 0.006819780915975571, 'Loss': 0.006595285748072127, 'SSIM': 0.8429415525916002, 'PSNR': 22.816240688952764}
{'iter': 33000, 'batch_size': 64, 'epoch': 4, 'loss': 0.007018162868916988, 'Loss': 0.008216269905034929, 'SSIM': 0.8291027900374612, 'PSNR': 21.91942189260353}
{'iter': 34000, 'batch_size': 64, 'epoch': 4, 'loss': 0.0070603275671601295, 'Loss': 0.006866133620744531, 'SSIM': 0.8500097960369842, 'PSNR': 23.09092660577827}
{'iter': 35000, 'batch_size': 64, 'epoch': 4, 'loss': 0.00667098443955183, 'Loss': 0.006960722642574221, 'SSIM': 0.8426612887411161, 'PSNR': 22.872544816848745}
{'iter': 36000, 'batch_size': 64, 'epoch': 4, 'loss': 0.008659623563289642, 'Loss': 0.006694443860745176, 'SSIM': 0.8498563773991565, 'PSNR': 23.227060227693034}
