{'iter': 0, 'batch_size': 64, 'epoch': 0, 'loss': 1.1225827932357788, 'Loss': 0.6111652310541336, 'SSIM': 0.009030249516499852, 'PSNR': 8.95182032631664}
{'iter': 1000, 'batch_size': 64, 'epoch': 0, 'loss': 0.021913116797804832, 'Loss': 0.020287916569554424, 'SSIM': 0.5002337976052316, 'PSNR': 17.873537656854943}
{'iter': 2000, 'batch_size': 64, 'epoch': 0, 'loss': 0.024521291255950928, 'Loss': 0.014500269879329395, 'SSIM': 0.628316389688629, 'PSNR': 19.389442022777928}
{'iter': 3000, 'batch_size': 64, 'epoch': 0, 'loss': 0.014780940487980843, 'Loss': 0.013054202523756218, 'SSIM': 0.6804439990988129, 'PSNR': 19.937049199576702}
{'iter': 4000, 'batch_size': 64, 'epoch': 0, 'loss': 0.015702608972787857, 'Loss': 0.011410325436179149, 'SSIM': 0.7253448583426889, 'PSNR': 20.63971589623777}
{'iter': 5000, 'batch_size': 64, 'epoch': 0, 'loss': 0.012816868722438812, 'Loss': 0.011210166859103645, 'SSIM': 0.7416675119026189, 'PSNR': 20.522893644705206}
{'iter': 6000, 'batch_size': 64, 'epoch': 0, 'loss': 0.012695593759417534, 'Loss': 0.010522842355211205, 'SSIM': 0.7527122561490586, 'PSNR': 20.994948059621848}
{'iter': 7000, 'batch_size': 64, 'epoch': 0, 'loss': 0.013464315794408321, 'Loss': 0.009359625627613687, 'SSIM': 0.7761942109768701, 'PSNR': 21.373247421195916}
{'iter': 8000, 'batch_size': 64, 'epoch': 1, 'loss': 0.011261992156505585, 'Loss': 0.008847526112383113, 'SSIM': 0.7806736081685549, 'PSNR': 21.49873105248057}
{'iter': 9000, 'batch_size': 64, 'epoch': 1, 'loss': 0.014654702506959438, 'Loss': 0.008326444163066434, 'SSIM': 0.8032762368653281, 'PSNR': 21.98111439960204}
{'iter': 10000, 'batch_size': 64, 'epoch': 1, 'loss': 0.011351220309734344, 'Loss': 0.008183514508616893, 'SSIM': 0.8068336759986439, 'PSNR': 22.09244018396459}
{'iter': 11000, 'batch_size': 64, 'epoch': 1, 'loss': 0.009901775978505611, 'Loss': 0.00799995210601334, 'SSIM': 0.8038862287651705, 'PSNR': 22.00821973994931}
{'iter': 12000, 'batch_size': 64, 'epoch': 1, 'loss': 0.012594571337103844, 'Loss': 0.007605020318457738, 'SSIM': 0.8188646406486234, 'PSNR': 22.45010853319392}
{'iter': 13000, 'batch_size': 64, 'epoch': 1, 'loss': 0.010821409523487091, 'Loss': 0.007509993004087517, 'SSIM': 0.8130671657410055, 'PSNR': 22.362967553638835}
{'iter': 14000, 'batch_size': 64, 'epoch': 1, 'loss': 0.012353939935564995, 'Loss': 0.007931593535567058, 'SSIM': 0.8153177116500749, 'PSNR': 21.930847766294004}
{'iter': 15000, 'batch_size': 64, 'epoch': 2, 'loss': 0.00840548612177372, 'Loss': 0.007640325422200592, 'SSIM': 0.8274380694289583, 'PSNR': 22.386210315724515}
{'iter': 16000, 'batch_size': 64, 'epoch': 2, 'loss': 0.008071642369031906, 'Loss': 0.00740506145682067, 'SSIM': 0.8247029519080865, 'PSNR': 22.507906358202323}
{'iter': 17000, 'batch_size': 64, 'epoch': 2, 'loss': 0.013053073547780514, 'Loss': 0.007818809442935473, 'SSIM': 0.8216152698405876, 'PSNR': 22.260034912182505}
{'iter': 18000, 'batch_size': 64, 'epoch': 2, 'loss': 0.007681731134653091, 'Loss': 0.006817899407828821, 'SSIM': 0.826521976305733, 'PSNR': 22.652363095132625}
{'iter': 19000, 'batch_size': 64, 'epoch': 2, 'loss': 0.011553457006812096, 'Loss': 0.006823829173338302, 'SSIM': 0.8114433130331774, 'PSNR': 22.152484796004078}
{'iter': 20000, 'batch_size': 64, 'epoch': 2, 'loss': 0.009884575381875038, 'Loss': 0.007325904390606237, 'SSIM': 0.8294410240012056, 'PSNR': 22.753092535853508}
{'iter': 21000, 'batch_size': 64, 'epoch': 2, 'loss': 0.00805993564426899, 'Loss': 0.0069309429604897, 'SSIM': 0.8402255589374252, 'PSNR': 22.873945921657675}
{'iter': 22000, 'batch_size': 64, 'epoch': 3, 'loss': 0.009230653755366802, 'Loss': 0.0071248635426758135, 'SSIM': 0.8249246087740466, 'PSNR': 22.31348745108117}
{'iter': 23000, 'batch_size': 64, 'epoch': 3, 'loss': 0.010020481422543526, 'Loss': 0.007325610201657215, 'SSIM': 0.8352303700286934, 'PSNR': 22.6922625015491}
{'iter': 24000, 'batch_size': 64, 'epoch': 3, 'loss': 0.012922163121402264, 'Loss': 0.006717772167324623, 'SSIM': 0.8268138249093466, 'PSNR': 22.951634840821008}
{'iter': 25000, 'batch_size': 64, 'epoch': 3, 'loss': 0.00845378078520298, 'Loss': 0.0070187947774761695, 'SSIM': 0.8394767492950036, 'PSNR': 22.92345646091421}
{'iter': 26000, 'batch_size': 64, 'epoch': 3, 'loss': 0.008563547395169735, 'Loss': 0.006945274821036753, 'SSIM': 0.8362225998422799, 'PSNR': 22.751976252424406}
{'iter': 27000, 'batch_size': 64, 'epoch': 3, 'loss': 0.007578448858112097, 'Loss': 0.006132963855324828, 'SSIM': 0.8457790357241458, 'PSNR': 23.373482934406436}
{'iter': 28000, 'batch_size': 64, 'epoch': 3, 'loss': 0.00794597901403904, 'Loss': 0.0070764023235979235, 'SSIM': 0.8438165586539055, 'PSNR': 23.053734593442456}
