{'iter': 0, 'epoch': 0, 'loss': 0.04549361765384674, 'Loss': 0.046109910281573206, 'SSIM': 0.40442090423023364, 'PSNR': 14.343719984679336, 'LPIPS': 0.7530415210723876, 'FVD': 1}
{'iter': 1000, 'epoch': 0, 'loss': 0.01045177411288023, 'Loss': 0.009872929339217854, 'SSIM': 0.49957473818965, 'PSNR': 20.650255637027694, 'LPIPS': 0.7189784946441651, 'FVD': 1}
{'iter': 2000, 'epoch': 0, 'loss': 0.009408963844180107, 'Loss': 0.008007222301069093, 'SSIM': 0.5706389698983297, 'PSNR': 21.633176001786858, 'LPIPS': 0.5939326883951823, 'FVD': 1}
{'iter': 3000, 'epoch': 0, 'loss': 0.005537719931453466, 'Loss': 0.005057125909630447, 'SSIM': 0.6032903546901944, 'PSNR': 23.552428394957083, 'LPIPS': 0.4584681081771851, 'FVD': 1}
{'iter': 4000, 'epoch': 1, 'loss': 0.005052138119935989, 'Loss': 0.004324596954826662, 'SSIM': 0.632716226360058, 'PSNR': 24.216500052078533, 'LPIPS': 0.3951726493835449, 'FVD': 1}
{'iter': 5000, 'epoch': 1, 'loss': 0.0045280191116034985, 'Loss': 0.003866863368881589, 'SSIM': 0.6507735762675112, 'PSNR': 24.72524864840535, 'LPIPS': 0.37661663627624514, 'FVD': 1}
{'iter': 6000, 'epoch': 1, 'loss': 0.0035317984875291586, 'Loss': 0.003534600361587202, 'SSIM': 0.668611101339814, 'PSNR': 25.120561999375106, 'LPIPS': 0.35841416581471763, 'FVD': 1}
{'iter': 7000, 'epoch': 1, 'loss': 0.0035332960542291403, 'Loss': 0.0032919380154975866, 'SSIM': 0.6852630396425559, 'PSNR': 25.4504594429551, 'LPIPS': 0.3395062459309896, 'FVD': 1}
{'iter': 8000, 'epoch': 2, 'loss': 0.003331128042191267, 'Loss': 0.0031974339174067087, 'SSIM': 0.6978300403345971, 'PSNR': 25.478058693858674, 'LPIPS': 0.32156787474950155, 'FVD': 1}
{'iter': 9000, 'epoch': 2, 'loss': 0.0031733233481645584, 'Loss': 0.0028724694820220008, 'SSIM': 0.7111735272606391, 'PSNR': 26.074353221518138, 'LPIPS': 0.30884447956085204, 'FVD': 1}
{'iter': 10000, 'epoch': 2, 'loss': 0.002872632583603263, 'Loss': 0.002749290583566069, 'SSIM': 0.7202141236011512, 'PSNR': 26.272813982306722, 'LPIPS': 0.3002696533203125, 'FVD': 1}
{'iter': 11000, 'epoch': 3, 'loss': 0.0026339832693338394, 'Loss': 0.002711620237529674, 'SSIM': 0.7296055503310821, 'PSNR': 26.353901680138843, 'LPIPS': 0.28417631260553994, 'FVD': 1}
{'iter': 12000, 'epoch': 3, 'loss': 0.002483886433765292, 'Loss': 0.002529038551035634, 'SSIM': 0.7358326488607658, 'PSNR': 26.608049131237447, 'LPIPS': 0.27630634705225626, 'FVD': 1}
{'iter': 13000, 'epoch': 3, 'loss': 0.0027670725248754025, 'Loss': 0.002425691127737469, 'SSIM': 0.7426265217145337, 'PSNR': 26.791107532499527, 'LPIPS': 0.2671703198750814, 'FVD': 1}
{'iter': 14000, 'epoch': 3, 'loss': 0.002680395497009158, 'Loss': 0.0023447714580044627, 'SSIM': 0.7489692608271189, 'PSNR': 26.92110517213608, 'LPIPS': 0.256264551003774, 'FVD': 1}
{'iter': 15000, 'epoch': 4, 'loss': 0.002393511589616537, 'Loss': 0.0022878184564104503, 'SSIM': 0.7558031004158274, 'PSNR': 27.121134674676277, 'LPIPS': 0.25136351617177327, 'FVD': 1}
{'iter': 16000, 'epoch': 4, 'loss': 0.0024638439062982798, 'Loss': 0.002174643624420377, 'SSIM': 0.7617520297677277, 'PSNR': 27.301860332622667, 'LPIPS': 0.24422647205988565, 'FVD': 1}
{'iter': 17000, 'epoch': 4, 'loss': 0.0022519296035170555, 'Loss': 0.002116963986872121, 'SSIM': 0.7661838541173441, 'PSNR': 27.42300441187011, 'LPIPS': 0.23761136897404989, 'FVD': 1}
{'iter': 18000, 'epoch': 4, 'loss': 0.002135063521564007, 'Loss': 0.0020562123886230304, 'SSIM': 0.7720400815120165, 'PSNR': 27.563630278494013, 'LPIPS': 0.231735311349233, 'FVD': 1}
{'iter': 19000, 'epoch': 5, 'loss': 0.0021568038500845432, 'Loss': 0.0020056460263267, 'SSIM': 0.7764279557230243, 'PSNR': 27.684081725142466, 'LPIPS': 0.2252957239151001, 'FVD': 1}
{'iter': 20000, 'epoch': 5, 'loss': 0.002157247392460704, 'Loss': 0.0019678372686649575, 'SSIM': 0.7805776876527217, 'PSNR': 27.719809273073803, 'LPIPS': 0.22049770148595174, 'FVD': 1}
{'iter': 21000, 'epoch': 5, 'loss': 0.0021014155354350805, 'Loss': 0.0019038683032626881, 'SSIM': 0.7847918991561188, 'PSNR': 27.944658230377335, 'LPIPS': 0.21948375606536866, 'FVD': 1}
{'iter': 22000, 'epoch': 6, 'loss': 0.002243263414129615, 'Loss': 0.0018669670185153472, 'SSIM': 0.7885608527314867, 'PSNR': 28.032795155946335, 'LPIPS': 0.21382955916722615, 'FVD': 1}
{'iter': 23000, 'epoch': 6, 'loss': 0.0019720993004739285, 'Loss': 0.001850656726016128, 'SSIM': 0.792005817109617, 'PSNR': 28.056053613461472, 'LPIPS': 0.2136423536936442, 'FVD': 1}
{'iter': 24000, 'epoch': 6, 'loss': 0.0022404477931559086, 'Loss': 0.0018003802799788165, 'SSIM': 0.795253807493134, 'PSNR': 28.141857629996487, 'LPIPS': 0.20629321591059366, 'FVD': 1}
{'iter': 25000, 'epoch': 6, 'loss': 0.0023670014925301075, 'Loss': 0.0017589442859195727, 'SSIM': 0.7981214385835598, 'PSNR': 28.31008319911777, 'LPIPS': 0.20569542105992636, 'FVD': 1}
{'iter': 26000, 'epoch': 7, 'loss': 0.0017558448016643524, 'Loss': 0.0017303899320664795, 'SSIM': 0.8016921979654089, 'PSNR': 28.337772255872874, 'LPIPS': 0.2007014017899831, 'FVD': 1}
{'iter': 27000, 'epoch': 7, 'loss': 0.0019859657622873783, 'Loss': 0.0019329949901340173, 'SSIM': 0.8037288402421856, 'PSNR': 27.907814565576206, 'LPIPS': 0.19474579310417175, 'FVD': 1}
{'iter': 28000, 'epoch': 7, 'loss': 0.0019568372517824173, 'Loss': 0.0016941960988952679, 'SSIM': 0.8071524226623285, 'PSNR': 28.443277832957296, 'LPIPS': 0.19567710208892822, 'FVD': 1}
{'iter': 29000, 'epoch': 7, 'loss': 0.0017741527408361435, 'Loss': 0.001677408948184011, 'SSIM': 0.8099342982355782, 'PSNR': 28.54295020462724, 'LPIPS': 0.1929860948721568, 'FVD': 1}
{'iter': 30000, 'epoch': 8, 'loss': 0.001794413081370294, 'Loss': 0.0016493785369675606, 'SSIM': 0.8107812510707169, 'PSNR': 28.58678212090726, 'LPIPS': 0.1926376539071401, 'FVD': 1}
{'iter': 31000, 'epoch': 8, 'loss': 0.0013791534584015608, 'Loss': 0.0015947520064110768, 'SSIM': 0.8140573066343384, 'PSNR': 28.68272694614056, 'LPIPS': 0.18630437699953714, 'FVD': 1}
{'iter': 32000, 'epoch': 8, 'loss': 0.0016866866499185562, 'Loss': 0.0015646493170123072, 'SSIM': 0.8169760140646578, 'PSNR': 28.810001999351023, 'LPIPS': 0.1871470868587494, 'FVD': 1}
{'iter': 33000, 'epoch': 9, 'loss': 0.0014103027060627937, 'Loss': 0.0015441619548352157, 'SSIM': 0.8188342513637307, 'PSNR': 28.89787279457824, 'LPIPS': 0.1832485671043396, 'FVD': 1}
{'iter': 34000, 'epoch': 9, 'loss': 0.0015672575682401657, 'Loss': 0.0015326931829901134, 'SSIM': 0.8207248436236015, 'PSNR': 28.875544394436677, 'LPIPS': 0.18069627610842387, 'FVD': 1}
{'iter': 35000, 'epoch': 9, 'loss': 0.0017001818632707, 'Loss': 0.0015075581409582036, 'SSIM': 0.8239215127561831, 'PSNR': 29.013699648109174, 'LPIPS': 0.180295841217041, 'FVD': 1}
{'iter': 36000, 'epoch': 9, 'loss': 0.0012012820225208998, 'Loss': 0.0015017228656785285, 'SSIM': 0.8241580426873091, 'PSNR': 28.927136480624405, 'LPIPS': 0.17714009539286296, 'FVD': 1}
