{'iter': 0, 'epoch': 0, 'loss': 0.1809418499469757, 'MSE': 0.045640916385232135, 'MAE': 0.1793223368994733, 'SSIM': 0.4045150472260458, 'PSNR': 14.374869792444768, 'LPIPS': 0.7491679039001465, 'FVD': 40.79299825168918}
{'iter': 3000, 'epoch': 0, 'loss': 0.05694463849067688, 'MSE': 0.006134944269433618, 'MAE': 0.05099130338652337, 'SSIM': 0.5842574332996654, 'PSNR': 22.727653648741093, 'LPIPS': 0.4767494576772054, 'FVD': 17.562821621584895}
{'iter': 6000, 'epoch': 1, 'loss': 0.042951058596372604, 'MSE': 0.004124267093658923, 'MAE': 0.04033683180967544, 'SSIM': 0.6488528431890533, 'PSNR': 24.466997039488813, 'LPIPS': 0.36898732201258344, 'FVD': 12.566600687689412}
{'iter': 9000, 'epoch': 2, 'loss': 0.034615546464920044, 'MSE': 0.0034219837361114456, 'MAE': 0.03621776754710269, 'SSIM': 0.6853965534515543, 'PSNR': 25.338723897865638, 'LPIPS': 0.3326408569018046, 'FVD': 11.915410101397242}
{'iter': 12000, 'epoch': 3, 'loss': 0.03562333434820175, 'MSE': 0.003041749226890425, 'MAE': 0.034288821107846625, 'SSIM': 0.7134072037930123, 'PSNR': 25.912217361430365, 'LPIPS': 0.29083798599243166, 'FVD': 9.69873367926946}
{'iter': 15000, 'epoch': 4, 'loss': 0.032082416117191315, 'MSE': 0.002679403375913488, 'MAE': 0.0319028206843328, 'SSIM': 0.7319871745720339, 'PSNR': 26.42583870968808, 'LPIPS': 0.2736783574422201, 'FVD': 9.881687090329105}
{'iter': 18000, 'epoch': 4, 'loss': 0.03105945885181427, 'MSE': 0.0024602038258230907, 'MAE': 0.03026198738432945, 'SSIM': 0.7498470356838097, 'PSNR': 26.820448605690604, 'LPIPS': 0.2518294324874878, 'FVD': 8.958086782125164}
{'iter': 21000, 'epoch': 5, 'loss': 0.03011227212846279, 'MSE': 0.002298441657330841, 'MAE': 0.029277526278128015, 'SSIM': 0.7621435333328662, 'PSNR': 27.145358382102426, 'LPIPS': 0.24058757225672403, 'FVD': 8.455450800272953}
{'iter': 24000, 'epoch': 6, 'loss': 0.028549373149871826, 'MSE': 0.002153225944060436, 'MAE': 0.028324040326666324, 'SSIM': 0.7729680456210168, 'PSNR': 27.399125592579423, 'LPIPS': 0.2290032485326131, 'FVD': 8.016298670161}
{'iter': 27000, 'epoch': 7, 'loss': 0.02657271921634674, 'MSE': 0.0020942982432353213, 'MAE': 0.02882876538453584, 'SSIM': 0.7817143872535154, 'PSNR': 27.405864403649602, 'LPIPS': 0.21976663128534954, 'FVD': 7.972938387708123}
{'iter': 30000, 'epoch': 8, 'loss': 0.028161432594060898, 'MSE': 0.001958002798269166, 'MAE': 0.027057894347037408, 'SSIM': 0.7907028544015743, 'PSNR': 27.808923151950765, 'LPIPS': 0.21259643077850343, 'FVD': 7.5909643958689585}
{'iter': 33000, 'epoch': 9, 'loss': 0.028738941997289658, 'MSE': 0.0018689000243420138, 'MAE': 0.026452728527340482, 'SSIM': 0.8000805987409837, 'PSNR': 28.06827610691373, 'LPIPS': 0.2041840643088023, 'FVD': 7.31491157859891}
{'iter': 36000, 'epoch': 9, 'loss': 0.02560838684439659, 'MSE': 0.0017676444078964042, 'MAE': 0.025511203016689483, 'SSIM': 0.8067780733731468, 'PSNR': 28.32557415047517, 'LPIPS': 0.20098482163747153, 'FVD': 7.792013369571613}
